Exp,Name,F1,ROC-AUC,Avg-Prec,Precision,Recall
1,GraphSAGE  2L h=64  baseline,0.5283,0.8873,0.5194,0.4555,0.6288
2,GraphSAGE  2L h=128,0.577,0.8955,0.6027,0.5556,0.6002
3,GraphSAGE  2L h=256,0.5803,0.8946,0.5947,0.5641,0.5974
4,GraphSAGE  2L h=128  300ep,0.5966,0.8972,0.6069,0.5761,0.6187
5,GraphSAGE  3L h=128,0.615,0.8991,0.6105,0.615,0.615
6,GraphSAGEv2  3L h=256 LN+SL,0.6831,0.9055,0.7044,0.8146,0.5882
7,GraphSAGE  Optuna best  3L h=256,0.6895,0.9011,0.7055,0.8223,0.5937
8,GAT  2L  4heads baseline,0.3068,0.8244,0.3662,0.1982,0.6787
9,GAT  2L  2heads,0.3406,0.8642,0.4187,0.223,0.7211
10,GATv2  3L  2heads residual+LN,0.3819,0.8865,0.5465,0.2588,0.7285
